NoseX,NoseY,NeckX,NeckY,RShoulderX,RShoulderY,RElbowX,RElbowY,RWristX,RWristY,LShoulderX,LShoulderY,LElbowX,LElbowY,LWristX,LWristY,RHipX,RHipY,RKneeX,RKneeY,RAnkleX,RAnkleY,LHipX,LHipY,LKneeX,LKneeY,LAnkleX,LAnkleY,REyeX,REyeY,LEyeX,LEyeY,REarX,REarY,LEarX,LEarY,BackgroundX,BackgroundY
0,0,352,834,469,834,516,1085,540,1293,211,834,164,1085,0,0,422,1293,0,0,0,0,258,1252,305,1544,0,0,0,0,0,0,422,709,328,709,986,83
0,0,328,876,469,834,516,1085,540,1293,211,876,164,1085,0,0,422,1293,399,1669,0,0,258,1252,305,1544,0,0,0,0,0,0,422,709,328,709,164,0
0,0,352,876,469,834,516,1085,540,1293,211,876,164,1085,187,1252,422,1293,422,1586,0,0,258,1252,305,1544,0,0,0,0,0,0,422,709,305,709,986,83
0,0,328,876,469,834,516,1085,540,1293,211,876,164,1085,187,1252,422,1252,446,1544,328,1878,258,1252,305,1502,305,1878,0,0,0,0,422,709,328,709,986,83
0,0,352,876,469,876,516,1085,563,1293,234,834,164,1043,164,1252,422,1293,446,1544,0,0,258,1252,305,1502,328,1878,0,0,0,0,422,709,305,709,986,83
0,0,352,876,469,876,516,1085,563,1293,234,876,164,1085,164,1252,446,1293,469,1544,328,1878,258,1252,305,1502,328,1878,0,0,0,0,422,709,305,709,164,0
0,0,352,876,469,876,516,1085,540,1293,234,876,164,1085,164,1252,446,1293,0,0,0,0,258,1252,281,1544,305,1878,0,0,0,0,422,709,328,709,164,0
0,0,352,876,469,834,516,1085,563,1293,234,876,164,1043,164,1252,446,1252,469,1502,0,0,281,1252,281,1544,0,0,0,0,0,0,422,709,328,709,164,0
0,0,352,876,469,834,516,1085,563,1293,234,876,187,1043,164,1252,446,1252,469,1502,422,1794,281,1252,281,1544,0,0,0,0,0,0,422,709,328,709,164,0
0,0,352,876,469,876,516,1085,563,1252,234,876,187,1085,164,1252,446,1252,469,1502,422,1794,281,1252,281,1586,0,0,0,0,0,0,422,709,328,709,164,0
0,0,352,876,469,876,516,1085,563,1252,234,876,187,1085,187,1252,469,1252,469,1502,446,1794,281,1252,281,1586,0,0,0,0,0,0,422,709,328,709,164,0
0,0,352,876,469,876,516,1085,563,1293,234,876,187,1085,187,1252,446,1252,469,1502,446,1794,305,1252,305,1544,0,0,0,0,0,0,422,709,328,751,986,83
0,0,375,876,493,876,516,1085,563,1252,258,876,211,1085,211,1252,446,1252,469,1502,469,1794,305,1252,281,1586,0,0,0,0,0,0,422,751,328,751,986,83
0,0,375,876,493,876,540,1085,563,1293,258,876,211,1085,211,1252,446,1252,469,1502,469,1794,305,1252,305,1586,0,0,0,0,0,0,422,751,328,751,986,83
0,0,375,876,493,876,540,1085,563,1252,258,876,211,1085,234,1252,469,1252,469,1460,493,1753,305,1293,305,1586,0,0,0,0,0,0,446,751,328,751,986,83
0,0,375,876,493,876,540,1085,563,1252,281,876,234,1126,234,1252,469,1252,469,1460,493,1753,305,1293,305,1586,305,1836,0,0,0,0,446,751,352,751,986,83
0,0,375,876,493,876,540,1085,563,1293,281,876,234,1126,258,1210,469,1252,493,1460,493,1711,305,1293,305,1586,0,0,0,0,0,0,446,751,352,751,986,83
0,0,375,918,516,876,540,1085,563,1293,281,876,234,1126,0,0,469,1252,493,1460,493,1711,328,1293,305,1586,0,0,0,0,0,0,446,751,352,751,164,0
0,0,399,918,516,876,540,1085,563,1252,281,918,258,1168,0,0,469,1252,493,1460,493,1711,328,1335,305,1627,0,0,0,0,0,0,446,751,352,793,164,0
